year,month,month_day,date_mm_dd_yyyy,any_birds_found_on_route_shift,route_shift,route_name,building_name,building_face_direction,species,found_dead_alive,picture_url_google_photos_album
2017,10,2017-10-23,2017-10-23,NA,AM,Other (explain in notes),Undergraduate Library_99,West,NA,Dead,NA
2018,10,2018-10-24,2018-10-24,No,AM,North Quad,All Buildings of Route,NA,NA,NA,NA
2019,9,2019-09-10,2019-09-10,Yes,AM,Other (explain in notes),Morrill Hall_242,North,Black-and-white Warbler_Mniotilta varia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOO19mJJQviqlZRGxXF4gDFKDuXikiiWBIoBr7C?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-11,2019-09-11,Yes,AM,Other (explain in notes),Education Building_160,West,Swainson's Thrush_Catharus ustulatus,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPOIK4rT8IhHsVwhu6TVv_TQaUMMD36SJWBJCDc?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Center for Wounded Veterans in Higher Education_1494,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Illini Union Bookstore_106,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Main Library Bicycle Parking Shelter_1551,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Carl R. Woese Institute for Genomic Biology_1080,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Chemistry Annex_10,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Chemical & Life Sciences Laboratory_70,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,Morrill Hall_242,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,AM,Main Quad,All Buildings of Route,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,PM,Main Quad,All Buildings of Route,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,No,PM,Main Quad,All Buildings of Route,NA,NA,NA,NA
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Scarlet Tanager_Piranga olivacea,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP1ZY7u2IKQGl-JSRViNlDK0wSFR7w9IQ9fAEGl?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Grainger Engineering Library Information Center_324,South,Common Yellowthroat_Geothlypis trichas,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOIxrNdwN8qtqJNDQbbc9yHkpBAerY4b6vr6XJP?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Electrical and Computer Engineering_409,South,Magnolia Warbler_Setophaga magnolia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPLY-Jsq-alB1pK4P7QcRHvF1Jp2NY2bXCKifMJ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Electrical and Computer Engineering_409,North,Swainson's Thrush_Catharus ustulatus,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPp0ROFeW8jVzdUudhXikUfeo7ZvZFDLm4lI4k8?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Electrical and Computer Engineering_409,South,Black-and-white Warbler_Mniotilta varia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOOH1vwN5vPP_SemmtBhqfPwTVsY7rWaFrrlJnc?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Alive,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipM-gJFY2eMQxofPbTZ1ekfS97o1N3U7UuRJWQ1c?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPOpAF86a93fYUYDXUDWs1cFzUAvjVbP240Pcc4?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP7qiOcUl6lGAHH6RSZAjnP-6bq6CREKZJCTvh5?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Grainger Engineering Library Information Center_324,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMX5Kkoobd9cpgQfyy-6DK0-jVzg-i7tJhYsSXR?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNqNUlOsZGF3ue7JqgPRqt8goEkbs2hJq0vmIJ8?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Northern Parula_Setophaga americana,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNI7mW6fhErTUcQedIefxQoJL_DRfHerZHChBdN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMo3vXFAa6znS8ahEE74ggDkPsJu9IYu58kthxq?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
