"","collector_name_s","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15","x16"
"1","Kelsey Low",2017-10-23,10:50:00,"AM","Other (explain in notes)","Undergraduate Library_99",NA,"West",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"bird encountered outside of route, not immediately near a window.",NA,NA,NA
"2","Kelsey Low",2018-10-24,07:00:00,"AM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alec Luro",2019-09-10,09:58:00,"AM","Other (explain in notes)","Morrill Hall_242","Yes","North","Black-and-white Warbler_Mniotilta varia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOO19mJJQviqlZRGxXF4gDFKDuXikiiWBIoBr7C?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird found opportunistcally",NA,NA,NA
"4","Alec Luro",2019-09-11,09:43:00,"AM","Other (explain in notes)","Education Building_160","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPOIK4rT8IhHsVwhu6TVv_TQaUMMD36SJWBJCDc?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird found opportunistcally",NA,NA,NA
"5","Shelby Lawson",2019-09-16,08:05:00,"AM","Main Quad","Center for Wounded Veterans in Higher Education_1494","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Shelby Lawson",2019-09-16,08:32:00,"AM","Main Quad","Illini Union Bookstore_106","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Shelby Lawson",2019-09-16,08:41:00,"AM","Main Quad","Main Library Bicycle Parking Shelter_1551","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Shelby Lawson",2019-09-16,08:49:00,"AM","Main Quad","Carl R. Woese Institute for Genomic Biology_1080","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Shelby Lawson",2019-09-16,08:55:00,"AM","Main Quad","Chemistry Annex_10","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Shelby Lawson",2019-09-16,09:03:00,"AM","Main Quad","Chemical & Life Sciences Laboratory_70","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
