"","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15"
"1",2020-09-13,"14:29","PM","North Quad","Beckman Institute_228","Yes","East",NA,"Dead","Bird Survey Freezer (4th Floor Morrill Hall)",NA,"found off route while walking by",NA,NA
"2",2020-09-14,"7:23","AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/s28mUQjwtscfCesj9","Very decomposed",NA,NA
"3",2020-09-14,"7:45","AM","South Quad","Education Building_160","Yes","West","Ovenbird_Seiurus aurocapilla","Alive","Bird flew away","https://photos.app.goo.gl/2QLfJTU8cGMYCCydA",NA,NA,NA
"4",2020-09-14,"8:13","AM","South Quad","Law Building_156","Yes","North","Swainson's Thrush_Catharus ustulatus","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/w56F6piXYfqRJP7Z8","Covered in ants and already eaten away, so I threw it in the trash",NA,NA
"5",2020-09-14,"8:33","AM","Main Quad","Carl R. Woese Institute for Genomic Biology_1080","Yes","North","American Redstart_Setophaga ruticilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/6iwUbtDXn1KK6mvV9","Window faced north but was on the west side of the building",NA,NA
"6",2020-09-14,"8:43","AM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","East","Swainson's Thrush_Catharus ustulatus","Dead","Did not pickup (explain in notes)","https://photos.app.goo.gl/vKzEZ9MWWpwCNkCX7","Half eaten away, likely a thrush; below window of the S stairwell next to breezeway",NA,NA
"7",2020-09-14,"18.05","PM","North Quad","Beckman Institute_228","Yes","North","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/XvbYfwRi6fnyPnur9","Will add photo soon (kind of warbler ??)",NA,NA
"8",2020-09-14,"18:14","PM","North Quad","Beckman Institute_228","Yes","South","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/A8k5nja9MAsCCQnR6","Will add photo soon (kind of warbler ??, same as above)",NA,NA
"9",2020-09-14,"18:17","PM","North Quad","Beckman Institute_228","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/GirN5xiohufDk9PY8","Will add photo soon (kind of warbler ??, different from previous)",NA,NA
"10",2020-09-14,"18:30","PM","North Quad","Electrical and Computer Engineering_409","Yes","North","Unidentifiable","Dead","Other (explain in notes)","https://photos.app.goo.gl/kbDFjH474zDehjGEA","Decomposed bird still bring back but shouldn't sorry",NA,NA
