year,month,month_day,date_mm_dd_yyyy,any_birds_found_on_route_shift,route_shift,route_name,building_name,building_face_direction,species,found_dead_alive
2019,9,09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Scarlet Tanager_Piranga olivacea,Dead
2019,9,09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Alive
2019,9,09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,AM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Northern Parula_Setophaga americana,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,NA,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,"American Redstart_Setophaga ruticilla
",Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-17,2019-09-17,Yes,AM,North Quad,Beckman Institute_228,North,Bay-breasted Warbler_Setophaga castanea,Dead
2019,9,09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,Chestnut-sided Warbler_Setophaga pensylvanica,Dead
2019,9,09-17,2019-09-17,Yes,PM,North Quad,Beckman Institute_228,South,American Redstart_Setophaga ruticilla,Dead
2019,9,09-18,2019-09-18,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-18,2019-09-18,Yes,PM,North Quad,Beckman Institute_228,South,Black-and-white Warbler_Mniotilta varia,Dead
2019,9,09-18,2019-09-18,Yes,PM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2019,9,09-18,2019-09-18,Yes,PM,North Quad,Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019,9,09-20,2019-09-20,Yes,PM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead
2019,9,09-20,2019-09-20,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-21,2019-09-21,Yes,AM,North Quad,Beckman Institute_228,South,Bay-breasted Warbler_Setophaga castanea,Dead
2019,9,09-21,2019-09-21,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-22,2019-09-22,Yes,AM,North Quad,Beckman Institute_228,South,Indigo Bunting_Passerina cyanea,Dead
2019,9,09-22,2019-09-22,Yes,AM,North Quad,Beckman Institute_228,South,Chestnut-sided Warbler_Setophaga pensylvanica,Alive
2019,9,09-24,2019-09-24,Yes,PM,North Quad,Beckman Institute_228,North,Rose-breasted Grosbeak_Pheucticus ludovicianus,Dead
2019,9,09-26,2019-09-26,Yes,PM,North Quad,Beckman Institute_228,South,House Wren_Troglodytes aedon,Alive
2019,9,09-28,2019-09-28,Yes,AM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,North,Red-eyed Vireo_Vireo olivaceus,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Ovenbird_Seiurus aurocapilla,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,9,09-29,2019-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2019,10,10-01,2019-10-01,Yes,PM,North Quad,Beckman Institute_228,North,Blackpoll Warbler_Setophaga striata,Dead
2019,10,10-02,2019-10-02,Yes,PM,North Quad,Beckman Institute_228,South,American Redstart_Setophaga ruticilla,Dead
2019,10,10-03,2019-10-03,Yes,AM,North Quad,Beckman Institute_228,South,Black-throated Green Warbler_Setophaga virens,Alive
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Unidentifiable,Dead
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Unidentifiable,Dead
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019,10,10-03,2019-10-03,Yes,AM,Other (explain in notes),Beckman Institute_228,North,American Redstart_Setophaga ruticilla,Dead
2019,10,10-03,2019-10-03,Yes,PM,Other (explain in notes),Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,10,10-04,2019-10-04,Yes,AM,North Quad,Beckman Institute_228,North,Gray Catbird_Dumetella carolinensis,Dead
2019,10,10-04,2019-10-04,Yes,AM,North Quad,Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Alive
2019,10,10-05,2019-10-05,Yes,PM,North Quad,Beckman Institute_228,South,Dark-eyed Junco_Junco hyemalis,Dead
2019,10,10-05,2019-10-05,Yes,PM,North Quad,Beckman Institute_228,South,Blue-headed Vireo_Vireo solitarius,Dead
2019,10,10-06,2019-10-06,Yes,PM,North Quad,Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019,10,10-08,2019-10-08,Yes,PM,North Quad,Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,10,10-08,2019-10-08,Yes,PM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,10,10-10,2019-10-10,Yes,AM,North Quad,Beckman Institute_228,South,Scarlet Tanager_Piranga olivacea,Alive
2019,10,10-12,2019-10-12,Yes,AM,North Quad,Beckman Institute_228,North,Nashville Warbler_Oreothlypis ruficapilla,Alive
2019,10,10-12,2019-10-12,Yes,PM,North Quad,Beckman Institute_228,South,Northern Flicker_Colaptes auratus,Dead
2019,10,10-13,2019-10-13,Yes,PM,North Quad,Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019,10,10-14,2019-10-14,Yes,PM,Other (explain in notes),Beckman Institute_228,South,NA,Dead
2019,10,10-14,2019-10-14,Yes,PM,Other (explain in notes),Beckman Institute_228,South,NA,Dead
2019,10,10-15,2019-10-15,Yes,AM,North Quad,Beckman Institute_228,North,Black-throated Green Warbler_Setophaga virens,Alive
2019,10,10-17,2019-10-17,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019,10,10-17,2019-10-17,Yes,PM,Other (explain in notes),Beckman Institute_228,South,Northern Flicker_Colaptes auratus,Dead
2019,10,10-17,2019-10-17,Yes,PM,Other (explain in notes),Beckman Institute_228,South,NA,Dead
2019,10,10-18,2019-10-18,Yes,AM,Other (explain in notes),Beckman Institute_228,South,Hermit Thrush_Catharus guttatus,Dead
2019,10,10-18,2019-10-18,Yes,PM,N/A,Beckman Institute_228,South,NA,Dead
2019,10,10-23,2019-10-23,Yes,PM,N/A,Beckman Institute_228,South,Blue-headed Vireo_Vireo solitarius,Dead
2019,10,10-23,2019-10-23,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-23,2019-10-23,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-23,2019-10-23,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-23,2019-10-23,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,NA,Dead
2019,10,10-25,2019-10-25,Yes,PM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2019,10,10-26,2019-10-26,Yes,AM,N/A,Beckman Institute_228,South,Brown Creeper_Certhia americana,Dead
2019,10,10-26,2019-10-26,Yes,AM,N/A,Beckman Institute_228,South,Hermit Thrush_Catharus guttatus,Dead
2019,10,10-26,2019-10-26,Yes,AM,N/A,Beckman Institute_228,South,White-throated Sparrow_Zonotrichia albicollis,Dead
2020,9,09-13,2020-09-13,Yes,PM,North Quad,Beckman Institute_228,South,NA,Dead
2020,9,09-14,2020-09-14,Yes,PM,North Quad,Beckman Institute_228,North,Ovenbird_Seiurus aurocapilla,Dead
2020,9,09-14,2020-09-14,Yes,PM,North Quad,Beckman Institute_228,South,Bay-breasted Warbler_Setophaga castanea,Dead
2020,9,09-14,2020-09-14,Yes,PM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Ovenbird_Seiurus aurocapilla,Dead
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,North,Black-throated Green Warbler_Setophaga virens,Alive
2020,9,09-14,2020-09-14,Yes,AM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-15,2020-09-15,Yes,AM,North Quad,Beckman Institute_228,South,Mourning Warbler_Geothlypis philadelphia,Dead
2020,9,09-15,2020-09-15,Yes,AM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,9,09-15,2020-09-15,Yes,AM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-15,2020-09-15,Yes,PM,North Quad,Beckman Institute_228,North,Black-and-white Warbler_Mniotilta varia,Dead
2020,9,09-15,2020-09-15,Yes,PM,North Quad,Beckman Institute_228,South,Cape May Warbler_Setophaga tigrina,Dead
2020,9,09-15,2020-09-15,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2020,9,09-15,2020-09-15,Yes,PM,North Quad,Beckman Institute_228,South,Bay-breasted Warbler_Setophaga castanea,Dead
2020,9,09-16,2020-09-16,Yes,AM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2020,9,09-17,2020-09-17,Yes,AM,North Quad,Beckman Institute_228,North,Gray-cheeked Thrush_Catharus minimus,Dead
2020,9,09-17,2020-09-17,Yes,AM,North Quad,Beckman Institute_228,North,Red-breasted Nuthatch_Sitta canadensis,Dead
2020,9,09-17,2020-09-17,Yes,AM,North Quad,Beckman Institute_228,South,Red-eyed Vireo_Vireo olivaceus,Dead
2020,9,09-17,2020-09-17,Yes,AM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Alive
2020,9,09-17,2020-09-17,Yes,PM,North Quad,Beckman Institute_228,North,Red-breasted Nuthatch_Sitta canadensis,Dead
2020,9,09-18,2020-09-18,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-18,2020-09-18,Yes,AM,North Quad,Beckman Institute_228,North,American Redstart_Setophaga ruticilla,Dead
2020,9,09-18,2020-09-18,Yes,AM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Alive
2020,9,09-19,2020-09-19,Yes,PM,North Quad,Beckman Institute_228,South,Scarlet Tanager_Piranga olivacea,Dead
2020,9,09-19,2020-09-19,Yes,AM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-19,2020-09-19,Yes,AM,North Quad,Beckman Institute_228,South,Mourning Warbler_Geothlypis philadelphia,Dead
2020,9,09-24,2020-09-24,Yes,AM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead
2020,9,09-24,2020-09-24,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-28,2020-09-28,Yes,AM,North Quad,Beckman Institute_228,South,NA,Alive
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,North,Rose-breasted Grosbeak_Pheucticus ludovicianus,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,North,Swainson's Thrush_Catharus ustulatus,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Gray-cheeked Thrush_Catharus minimus,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Ovenbird_Seiurus aurocapilla,Dead
2020,9,09-29,2020-09-29,Yes,AM,North Quad,Beckman Institute_228,South,Red-eyed Vireo_Vireo olivaceus,Alive
2020,9,09-29,2020-09-29,Yes,PM,North Quad,Beckman Institute_228,South,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2020,9,09-30,2020-09-30,Yes,AM,North Quad,Beckman Institute_228,North,Northern Parula_Setophaga americana,Dead
2020,9,09-30,2020-09-30,Yes,PM,North Quad,Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,10,10-02,2020-10-02,Yes,AM,North Quad,Beckman Institute_228,North,Magnolia Warbler_Setophaga magnolia,Dead
2020,10,10-02,2020-10-02,Yes,AM,North Quad,Beckman Institute_228,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,10,10-02,2020-10-02,Yes,AM,North Quad,Beckman Institute_228,South,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2020,10,10-02,2020-10-02,Yes,AM,North Quad,Beckman Institute_228,South,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2020,10,10-01,2020-10-01,Yes,PM,North Quad,Beckman Institute_228,North,Bay-breasted Warbler_Setophaga castanea,Alive
2020,10,10-03,2020-10-03,Yes,AM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,10,10-05,2020-10-05,Yes,PM,North Quad,Beckman Institute_228,North,warbler?,Dead
2020,10,10-05,2020-10-05,Yes,AM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2020,10,10-05,2020-10-05,Yes,AM,North Quad,Beckman Institute_228,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2020,10,10-05,2020-10-05,Yes,AM,North Quad,Beckman Institute_228,South,Red-breasted Nuthatch_Sitta canadensis,Dead
2020,10,10-04,2020-10-04,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2020,10,10-09,2020-10-09,Yes,AM,North Quad,Beckman Institute_228,North,Northern Flicker_Colaptes auratus,Dead
2020,10,10-09,2020-10-09,Yes,AM,North Quad,Beckman Institute_228,North,NA,Dead
2020,10,10-09,2020-10-09,Yes,AM,North Quad,Beckman Institute_228,South,NA,Dead
2020,10,10-09,2020-10-09,Yes,PM,North Quad,Beckman Institute_228,South,NA,Dead
2020,10,10-10,2020-10-10,Yes,AM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead
2020,10,10-10,2020-10-10,Yes,PM,North Quad,Beckman Institute_228,North,NA,Dead
